,id,date,time,quantity,location,unit_price,category,product,detail,sales,month,day,year,weekday,hour,time_of_day
62,63,2023-01-01,09:40:13,1,Lower Manhattan,4.25,Coffee,Barista Espresso,Cappuccino Lg,4.25,January,1,2023,Sunday,9,Morning
63,64,2023-01-01,09:41:22,2,Lower Manhattan,3.0,Tea,Brewed herbal tea,Peppermint Lg,6.0,January,1,2023,Sunday,9,Morning
64,65,2023-01-01,09:41:22,1,Lower Manhattan,3.75,Bakery,Scone,Jumbo Savory Scone,3.75,January,1,2023,Sunday,9,Morning
65,66,2023-01-01,09:44:20,2,Lower Manhattan,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,5.0,January,1,2023,Sunday,9,Morning
66,67,2023-01-01,09:44:46,1,Lower Manhattan,3.0,Coffee,Drip coffee,Our Old Time Diner Blend Lg,3.0,January,1,2023,Sunday,9,Morning
67,68,2023-01-01,09:46:46,2,Lower Manhattan,3.0,Coffee,Barista Espresso,Espresso shot,6.0,January,1,2023,Sunday,9,Morning
68,69,2023-01-01,09:47:40,2,Hell's Kitchen,3.75,Coffee,Barista Espresso,Cappuccino,7.5,January,1,2023,Sunday,9,Morning
69,70,2023-01-01,09:50:44,2,Lower Manhattan,3.0,Coffee,Barista Espresso,Espresso shot,6.0,January,1,2023,Sunday,9,Morning
70,71,2023-01-01,09:50:44,1,Lower Manhattan,3.25,Bakery,Biscotti,Hazelnut Biscotti,3.25,January,1,2023,Sunday,9,Morning
71,72,2023-01-01,09:52:58,1,Lower Manhattan,2.5,Tea,Brewed Black tea,Earl Grey Rg,2.5,January,1,2023,Sunday,9,Morning
72,73,2023-01-01,09:53:28,1,Hell's Kitchen,3.0,Tea,Brewed Green tea,Serenity Green Tea Lg,3.0,January,1,2023,Sunday,9,Morning
73,74,2023-01-01,09:53:44,2,Hell's Kitchen,3.75,Coffee,Barista Espresso,Cappuccino,7.5,January,1,2023,Sunday,9,Morning
74,75,2023-01-01,09:53:44,1,Hell's Kitchen,3.25,Bakery,Scone,Ginger Scone,3.25,January,1,2023,Sunday,9,Morning
75,76,2023-01-01,09:53:49,1,Hell's Kitchen,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,3.1,January,1,2023,Sunday,9,Morning
76,77,2023-01-01,09:54:46,1,Lower Manhattan,2.5,Coffee,Drip coffee,Our Old Time Diner Blend Rg,2.5,January,1,2023,Sunday,9,Morning
77,78,2023-01-01,09:55:16,2,Lower Manhattan,3.0,Tea,Brewed herbal tea,Lemon Grass Lg,6.0,January,1,2023,Sunday,9,Morning
78,79,2023-01-01,09:56:30,1,Hell's Kitchen,2.0,Coffee,Drip coffee,Our Old Time Diner Blend Sm,2.0,January,1,2023,Sunday,9,Morning
79,80,2023-01-01,10:00:39,2,Hell's Kitchen,3.0,Coffee,Gourmet brewed coffee,Ethiopia Rg,6.0,January,1,2023,Sunday,10,Morning
80,81,2023-01-01,10:03:55,2,Hell's Kitchen,3.75,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,7.5,January,1,2023,Sunday,10,Morning
81,82,2023-01-01,10:14:49,1,Lower Manhattan,3.0,Coffee,Organic brewed coffee,Brazilian Rg,3.0,January,1,2023,Sunday,10,Morning
82,83,2023-01-01,10:14:49,1,Lower Manhattan,3.75,Bakery,Pastry,Chocolate Croissant,3.75,January,1,2023,Sunday,10,Morning
83,84,2023-01-01,10:16:30,2,Lower Manhattan,3.0,Coffee,Gourmet brewed coffee,Ethiopia Rg,6.0,January,1,2023,Sunday,10,Morning
84,85,2023-01-01,10:16:33,1,Hell's Kitchen,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,2.5,January,1,2023,Sunday,10,Morning
85,86,2023-01-01,10:18:14,2,Hell's Kitchen,4.25,Coffee,Barista Espresso,Cappuccino Lg,8.5,January,1,2023,Sunday,10,Morning
86,87,2023-01-01,10:18:52,2,Lower Manhattan,2.2,Coffee,Organic brewed coffee,Brazilian Sm,4.4,January,1,2023,Sunday,10,Morning
87,88,2023-01-01,10:19:42,2,Lower Manhattan,2.5,Coffee,Drip coffee,Our Old Time Diner Blend Rg,5.0,January,1,2023,Sunday,10,Morning
88,89,2023-01-01,10:24:19,1,Hell's Kitchen,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,2.5,January,1,2023,Sunday,10,Morning
89,90,2023-01-01,10:25:22,2,Hell's Kitchen,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,5.1,January,1,2023,Sunday,10,Morning
90,91,2023-01-01,10:25:45,2,Lower Manhattan,3.5,Drinking Chocolate,Hot chocolate,Dark chocolate Rg,7.0,January,1,2023,Sunday,10,Morning
91,92,2023-01-01,10:25:45,1,Lower Manhattan,3.5,Bakery,Biscotti,Ginger Biscotti,3.5,January,1,2023,Sunday,10,Morning
92,93,2023-01-01,10:27:48,2,Hell's Kitchen,3.0,Tea,Brewed Green tea,Serenity Green Tea Lg,6.0,January,1,2023,Sunday,10,Morning
93,94,2023-01-01,10:30:07,1,Lower Manhattan,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,3.1,January,1,2023,Sunday,10,Morning
94,95,2023-01-01,10:30:07,1,Lower Manhattan,3.25,Bakery,Scone,Cranberry Scone,3.25,January,1,2023,Sunday,10,Morning
95,96,2023-01-01,10:35:47,1,Hell's Kitchen,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,3.75,January,1,2023,Sunday,10,Morning
96,97,2023-01-01,10:41:53,1,Lower Manhattan,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,4.5,January,1,2023,Sunday,10,Morning
97,98,2023-01-01,10:47:53,2,Lower Manhattan,3.75,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,7.5,January,1,2023,Sunday,10,Morning
98,99,2023-01-01,10:49:13,2,Hell's Kitchen,3.0,Tea,Brewed Black tea,Earl Grey Lg,6.0,January,1,2023,Sunday,10,Morning
99,100,2023-01-01,10:49:51,2,Lower Manhattan,4.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg,9.5,January,1,2023,Sunday,10,Morning
100,101,2023-01-01,10:51:17,1,Lower Manhattan,3.0,Tea,Brewed Green tea,Serenity Green Tea Lg,3.0,January,1,2023,Sunday,10,Morning
101,102,2023-01-01,10:52:44,2,Hell's Kitchen,2.5,Coffee,Drip coffee,Our Old Time Diner Blend Rg,5.0,January,1,2023,Sunday,10,Morning
102,103,2023-01-01,10:52:44,1,Hell's Kitchen,3.75,Bakery,Pastry,Almond Croissant,3.75,January,1,2023,Sunday,10,Morning
103,104,2023-01-01,10:56:14,1,Lower Manhattan,3.75,Coffee,Barista Espresso,Latte,3.75,January,1,2023,Sunday,10,Morning
104,105,2023-01-01,10:56:14,1,Lower Manhattan,3.5,Bakery,Biscotti,Chocolate Chip Biscotti,3.5,January,1,2023,Sunday,10,Morning
105,106,2023-01-01,11:01:48,1,Astoria,2.0,Coffee,Drip coffee,Our Old Time Diner Blend Sm,2.0,January,1,2023,Sunday,11,Morning
106,107,2023-01-01,11:01:58,1,Astoria,3.75,Coffee,Barista Espresso,Latte,3.75,January,1,2023,Sunday,11,Morning
107,108,2023-01-01,11:01:58,1,Astoria,3.5,Bakery,Pastry,Croissant,3.5,January,1,2023,Sunday,11,Morning
108,109,2023-01-01,11:03:25,2,Lower Manhattan,3.0,Tea,Brewed Green tea,Serenity Green Tea Lg,6.0,January,1,2023,Sunday,11,Morning
109,110,2023-01-01,11:03:25,1,Lower Manhattan,3.5,Bakery,Pastry,Croissant,3.5,January,1,2023,Sunday,11,Morning
110,111,2023-01-01,11:04:32,2,Hell's Kitchen,4.25,Coffee,Barista Espresso,Latte Rg,8.5,January,1,2023,Sunday,11,Morning
111,112,2023-01-01,11:08:11,1,Astoria,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,4.5,January,1,2023,Sunday,11,Morning
112,113,2023-01-01,11:08:59,2,Hell's Kitchen,3.0,Tea,Brewed Black tea,Earl Grey Lg,6.0,January,1,2023,Sunday,11,Morning
113,114,2023-01-01,11:09:01,1,Astoria,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,4.5,January,1,2023,Sunday,11,Morning
114,115,2023-01-01,11:10:21,1,Astoria,3.0,Tea,Brewed Green tea,Serenity Green Tea Lg,3.0,January,1,2023,Sunday,11,Morning
115,116,2023-01-01,11:10:21,1,Astoria,3.75,Bakery,Scone,Jumbo Savory Scone,3.75,January,1,2023,Sunday,11,Morning
116,117,2023-01-01,11:10:58,1,Astoria,2.5,Tea,Brewed Green tea,Serenity Green Tea Rg,2.5,January,1,2023,Sunday,11,Morning
117,118,2023-01-01,11:12:29,1,Astoria,3.0,Tea,Brewed herbal tea,Lemon Grass Lg,3.0,January,1,2023,Sunday,11,Morning
118,119,2023-01-01,11:16:02,2,Astoria,3.0,Tea,Brewed herbal tea,Peppermint Lg,6.0,January,1,2023,Sunday,11,Morning
119,120,2023-01-01,11:21:00,2,Hell's Kitchen,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,5.0,January,1,2023,Sunday,11,Morning
120,121,2023-01-01,11:21:04,2,Lower Manhattan,3.0,Tea,Brewed Black tea,Earl Grey Lg,6.0,January,1,2023,Sunday,11,Morning
121,122,2023-01-01,11:21:14,1,Astoria,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,3.75,January,1,2023,Sunday,11,Morning
122,123,2023-01-01,11:23:01,1,Hell's Kitchen,2.2,Coffee,Gourmet brewed coffee,Ethiopia Sm,2.2,January,1,2023,Sunday,11,Morning
123,124,2023-01-01,11:23:43,2,Lower Manhattan,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,7.5,January,1,2023,Sunday,11,Morning
124,125,2023-01-01,11:23:43,1,Lower Manhattan,3.0,Bakery,Scone,Oatmeal Scone,3.0,January,1,2023,Sunday,11,Morning
125,126,2023-01-01,11:25:35,2,Astoria,3.0,Tea,Brewed Black tea,English Breakfast Lg,6.0,January,1,2023,Sunday,11,Morning
126,127,2023-01-01,11:25:37,2,Lower Manhattan,3.75,Coffee,Barista Espresso,Cappuccino,7.5,January,1,2023,Sunday,11,Morning
127,128,2023-01-01,11:28:15,2,Hell's Kitchen,2.5,Tea,Brewed herbal tea,Peppermint Rg,5.0,January,1,2023,Sunday,11,Morning
128,129,2023-01-01,11:28:29,2,Astoria,3.5,Coffee,Gourmet brewed coffee,Ethiopia Lg,7.0,January,1,2023,Sunday,11,Morning
129,130,2023-01-01,11:29:25,2,Lower Manhattan,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,5.1,January,1,2023,Sunday,11,Morning
130,131,2023-01-01,11:29:57,2,Hell's Kitchen,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,6.2,January,1,2023,Sunday,11,Morning
131,132,2023-01-01,11:29:57,1,Hell's Kitchen,4.5,Bakery,Scone,Scottish Cream Scone ,4.5,January,1,2023,Sunday,11,Morning
132,133,2023-01-01,11:30:22,1,Hell's Kitchen,2.5,Coffee,Drip coffee,Our Old Time Diner Blend Rg,2.5,January,1,2023,Sunday,11,Morning
133,134,2023-01-01,11:31:35,1,Hell's Kitchen,3.0,Coffee,Drip coffee,Our Old Time Diner Blend Lg,3.0,January,1,2023,Sunday,11,Morning
134,135,2023-01-01,11:31:43,2,Lower Manhattan,3.0,Tea,Brewed Black tea,Earl Grey Lg,6.0,January,1,2023,Sunday,11,Morning
135,136,2023-01-01,11:31:43,1,Lower Manhattan,3.25,Bakery,Scone,Ginger Scone,3.25,January,1,2023,Sunday,11,Morning
136,137,2023-01-01,11:31:53,2,Lower Manhattan,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,5.0,January,1,2023,Sunday,11,Morning
137,138,2023-01-01,11:31:53,1,Lower Manhattan,3.5,Bakery,Pastry,Croissant,3.5,January,1,2023,Sunday,11,Morning
138,139,2023-01-01,11:39:14,1,Lower Manhattan,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,3.75,January,1,2023,Sunday,11,Morning
139,140,2023-01-01,11:39:14,1,Lower Manhattan,3.75,Bakery,Pastry,Chocolate Croissant,3.75,January,1,2023,Sunday,11,Morning
140,141,2023-01-01,11:40:26,2,Astoria,2.5,Tea,Brewed Chai tea,Traditional Blend Chai Rg,5.0,January,1,2023,Sunday,11,Morning
141,142,2023-01-01,11:43:57,2,Astoria,2.2,Coffee,Organic brewed coffee,Brazilian Sm,4.4,January,1,2023,Sunday,11,Morning
142,143,2023-01-01,11:44:09,1,Lower Manhattan,3.75,Coffee,Barista Espresso,Latte,3.75,January,1,2023,Sunday,11,Morning
143,144,2023-01-01,11:47:13,1,Astoria,3.0,Coffee,Gourmet brewed coffee,Columbian Medium Roast Lg,3.0,January,1,2023,Sunday,11,Morning
144,145,2023-01-01,11:48:56,2,Hell's Kitchen,2.5,Tea,Brewed Black tea,Earl Grey Rg,5.0,January,1,2023,Sunday,11,Morning
145,146,2023-01-01,11:49:42,1,Hell's Kitchen,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,2.5,January,1,2023,Sunday,11,Morning
146,147,2023-01-01,11:49:42,1,Hell's Kitchen,3.25,Bakery,Scone,Ginger Scone,3.25,January,1,2023,Sunday,11,Morning
147,148,2023-01-01,11:50:16,2,Astoria,3.0,Coffee,Organic brewed coffee,Brazilian Rg,6.0,January,1,2023,Sunday,11,Morning
148,149,2023-01-01,11:50:23,2,Astoria,3.75,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,7.5,January,1,2023,Sunday,11,Morning
149,150,2023-01-01,11:50:58,2,Lower Manhattan,3.0,Tea,Brewed herbal tea,Peppermint Lg,6.0,January,1,2023,Sunday,11,Morning
150,151,2023-01-01,11:51:30,2,Hell's Kitchen,3.5,Coffee,Gourmet brewed coffee,Ethiopia Lg,7.0,January,1,2023,Sunday,11,Morning
151,152,2023-01-01,11:52:31,1,Lower Manhattan,3.1,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,3.1,January,1,2023,Sunday,11,Morning
152,153,2023-01-01,11:57:17,2,Astoria,3.0,Coffee,Barista Espresso,Espresso shot,6.0,January,1,2023,Sunday,11,Morning
153,154,2023-01-01,11:57:59,1,Astoria,2.5,Tea,Brewed Black tea,Earl Grey Rg,2.5,January,1,2023,Sunday,11,Morning
154,155,2023-01-01,11:57:59,1,Astoria,3.75,Bakery,Scone,Jumbo Savory Scone,3.75,January,1,2023,Sunday,11,Morning
155,156,2023-01-01,11:58:15,2,Astoria,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,7.5,January,1,2023,Sunday,11,Morning
156,157,2023-01-01,12:00:20,1,Lower Manhattan,2.5,Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg,2.5,January,1,2023,Sunday,12,Afternoon
157,158,2023-01-01,12:01:00,2,Astoria,3.0,Tea,Brewed Black tea,English Breakfast Lg,6.0,January,1,2023,Sunday,12,Afternoon
158,159,2023-01-01,12:01:20,2,Astoria,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,6.2,January,1,2023,Sunday,12,Afternoon
159,160,2023-01-01,12:01:20,1,Astoria,3.5,Bakery,Pastry,Croissant,3.5,January,1,2023,Sunday,12,Afternoon
160,161,2023-01-01,12:03:09,1,Hell's Kitchen,3.75,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,3.75,January,1,2023,Sunday,12,Afternoon
161,162,2023-01-01,12:03:38,1,Hell's Kitchen,3.0,Tea,Brewed Green tea,Serenity Green Tea Lg,3.0,January,1,2023,Sunday,12,Afternoon
162,163,2023-01-01,12:03:43,1,Astoria,2.5,Tea,Brewed herbal tea,Peppermint Rg,2.5,January,1,2023,Sunday,12,Afternoon
163,164,2023-01-01,12:04:22,2,Hell's Kitchen,3.5,Coffee,Organic brewed coffee,Brazilian Lg,7.0,January,1,2023,Sunday,12,Afternoon
164,165,2023-01-01,12:05:31,2,Astoria,2.5,Tea,Brewed Chai tea,Traditional Blend Chai Rg,5.0,January,1,2023,Sunday,12,Afternoon
165,166,2023-01-01,12:06:29,1,Lower Manhattan,2.5,Tea,Brewed Green tea,Serenity Green Tea Rg,2.5,January,1,2023,Sunday,12,Afternoon
166,167,2023-01-01,12:07:42,1,Hell's Kitchen,3.0,Coffee,Drip coffee,Our Old Time Diner Blend Lg,3.0,January,1,2023,Sunday,12,Afternoon
167,168,2023-01-01,12:08:21,1,Lower Manhattan,3.0,Tea,Brewed herbal tea,Lemon Grass Lg,3.0,January,1,2023,Sunday,12,Afternoon
168,169,2023-01-01,12:08:36,1,Hell's Kitchen,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,3.1,January,1,2023,Sunday,12,Afternoon
169,170,2023-01-01,12:09:11,2,Astoria,2.0,Coffee,Gourmet brewed coffee,Columbian Medium Roast Sm,4.0,January,1,2023,Sunday,12,Afternoon
170,171,2023-01-01,12:09:12,2,Hell's Kitchen,2.5,Tea,Brewed Black tea,Earl Grey Rg,5.0,January,1,2023,Sunday,12,Afternoon
171,172,2023-01-01,12:13:07,2,Lower Manhattan,3.75,Coffee,Barista Espresso,Latte,7.5,January,1,2023,Sunday,12,Afternoon
172,173,2023-01-01,12:14:26,2,Hell's Kitchen,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,6.2,January,1,2023,Sunday,12,Afternoon
173,174,2023-01-01,12:17:38,2,Hell's Kitchen,2.5,Tea,Brewed Black tea,Earl Grey Rg,5.0,January,1,2023,Sunday,12,Afternoon
174,175,2023-01-01,12:18:07,2,Lower Manhattan,2.2,Coffee,Organic brewed coffee,Brazilian Sm,4.4,January,1,2023,Sunday,12,Afternoon
